Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/carts,15375,0,1200.0,3423.340802137289,35.54120898479596,50761.34312496288,124.0,260.79784949368394,0.0,1200,2500,3500,4200,6100,17000,35000,44000,49000,50000,51000
GET,/carts/*,9817,0,1000.0,1529.3736738182806,32.15787501540035,11401.81670797756,162.7930121218295,166.52048705557695,0.0,1000,1700,2300,2700,3900,4900,5800,6300,7900,11000,11000
PUT,/carts/*,3736,0,1100.0,1758.9565247765147,37.654458021279424,10411.009916977491,253.85091006423983,63.37175711924574,0.0,1100,1800,2700,3200,4700,5900,6900,7300,8700,10000,10000
GET,/products/*,4286,1,20000.0,22705.99442003016,1179.2559999739751,53154.64070899179,648.2064862342511,72.70111108487346,0.01696246175568676,20000,29000,33000,36000,42000,47000,50000,51000,52000,53000,53000
GET,/users/random,4005,0,2700.0,11311.921077284322,114.65229198802263,48511.082332988735,433.70661672908864,67.93465933152548,0.0,2700,16000,18000,20000,33000,42000,44000,44000,48000,49000,49000
,Aggregated,37219,1,1500.0,5826.092150892615,32.15787501540035,53154.64070899179,240.95848894381902,631.3258640849056,0.01696246175568676,1500,3200,4700,6100,19000,33000,43000,46000,51000,52000,53000
